用户名,评论
jiaoj123,在大众点评看到这家店，非常适合溜娃，种草了好几周，终于来打卡了。说实话，有点小失望。京承上堵的一塌糊涂，两个小时才到。园区玩的地方不大，大面积是果园。预订这里烧烤的话，送抄子、塑料小鱼缸和水枪，可以带走三条鱼。总体来说，现实和店家照片有很大差距。大厅布置的还比较艺术，也有单独的包间。娱乐有围棋、乐高、磁力片和幼儿图书等等。捞鱼的鱼塘很小，大概长2米，宽0.5米左右。玩水的池子水有点脏。喂的小动物就6.7只，大的动物有一只猪（躺在里面睡觉，喂不到）。驴也在里面。心心念念的野菜，老板答复就在动物园对面，其实就是地上随便长的菜，没有种类，没有区域，你爱挖哪挖哪！所谓的儿童乐园，就是进门有几个脏脏的挖沙工具，一个农耕车，一个废弃的拖拉机。滑梯没看见。烧烤一个人248元，1.2米以下半价，价格有点贵。其实就是一个果园，里面开辟出一小块地烧烤。不值这个价钱，有种不会二刷了。					
口渴吃汉堡,北京暴雷前的那个周末，和小伙伴们带着五只神兽去玩。特别适合人多带孩子玩的地方。大人们烧烤射箭，小朋友们在充气泳池里基本就能混一天还可以在地里采菜喂小动物，小羊小鸭小兔子伍的。可以捞小鱼，每人可以带走三条小鱼。不过我们带回去的鱼第二天就全死光了…自助烧烤的串，肉还可以，那个大虾其实一般。总的来说环境不错，玩一天妥妥滴。					
栖身草屋,总体来说还是不错的体验，帐篷可以搭在烤串旁边，方便看孩子和吃烤串同时兼顾。食材不错，羊肉挺好的，烤出来很好吃，饮料是大瓶的可乐之类的，我们自己带了就没享用老板提供的，食材和饮料无限量供应，吃好吃饱没问题。玩的方便，搭帐篷、喂动物、撸小狗足够满足孩子了。还可以射箭、自己带跳绳、沙包、毽子满足大人。环境方面嘛，还有挺大的进步空间，没有做成ins网红风格，不太能满足小哥哥小姐姐的拍照需求，基本都是带孩子玩的。值得说一下的是，老板提供手磨咖啡☕️我们春天去的，夏天的话不知道蚊虫情况怎么样					
liqian196468,才有时间来写点评，早就种草共享花田，终于和朋友时间默契一同前往。按老板贴心指示顺利找到，门口有停车位。炸酱面味道确实不错，孩子吃了整一碗，地方很大，捞鱼喂小动物，还看到了一颗樱桃树。唯一就是烧烤处空气有点不流通，但孩子基本都在外面草地搭帐篷玩。					
lucy1030_82,环境：农场环境还是不错的，有一大片苹果树，六月初果子才刚刚长成。有一栋二层小楼里提供绘本玩具吧台等服务，旁边有儿童游乐区，有沙坑滑梯素拓等器材，天气热有充气戏水池可以玩。旁边有一排小动物的屋舍可以参观。食物：烧烤在小楼的另一边，分为带屋顶的区域和大棚的区域，大棚的区域可以搭帐篷，店家准备的肉种类比较丰富，口感也很好，调料工具一应俱全感觉很贴心。炸酱面还是很可口的服务：店主姐姐很温柔，耐心告诉我们烤肉的注意事项，临走时还每家送了一小袋刚摘的生菜感受：最好还是天气不那么晒的时候来比较合适，还有就是等苹果成熟了可以来采摘沙坑和滑梯太晒了没怎么玩，不过估计也不好搭棚子					
上下蛟儿,六一前一天我们4家人带着娃奔到了这里，干净，五脏俱全，孩子们一个捞鱼，一个戏水池就可以玩一天，老爸老妈们偷闲一日，妈妈们聊的甚欢。哈哈。可以带帐篷，带宠物，有片草坪，还可以喂小动物。旁边还可以采摘，一天可以从10点玩6点。需要提前约，午餐肉串广受好评，无限量供应。适合几家带娃小聚，大家玩的都很尽兴。					
嘿呀rssa,撸串好吃极了，孩子玩的痛快极了，家长陪着舒服极了！
Yolanda涅焰,周末带孩子去玩，环境不错，孩子们玩的很开心
可爱多珍珠_7123,乐园很好，适合小孩子去玩，六日人挺多的，平时还好，建议平时去
羊咩咩咩,和好朋友们渡过了完美的一天孩子们玩得很尽兴烤串很好吃😋
好吃不挑食儿,点评晚了初期疫情过后去的环境很好一起烧烤老人孩子还可以吃炸酱面孩子喂动物老人挖野菜我们喝茶打牌闲聊疫情后的相聚孩子们
一只憨熊,之前大家来过一次环境还可以烧烤时候烟雾缭绕
思羽,锦绣河山年卡禁用，希望尽快恢复使用
赵赵_3609,天气渐渐地热起来了，该去哪玩了？又怕热又怕人，理想的地方应该是这样吧～篱落疏疏，千树成荫，鸡鸣羊咩，兔闲鸭乐……可真巧，共享花田农场就是这样子的呢。进入亲子农场，迎接我们的是那一群群可爱的小动物，有驴、鸭子、兔子、火鸡、鸡、羊，还有一只大肥猪。小朋友们可以在那里亲手采上鲜嫩多汁的野菜去喂他们（随便采摘噢），孩子们的成就感瞬间爆棚。亲子农场还有一些游玩设施，秋千，滑梯，攀爬架，沙池等等，也能让孩子玩上半天。「地理位置」昌平区兴寿镇下西市村东800米。「玩一整天自助烧烤喂动物捞小鱼挖野菜儿童乐园水枪大战」					
zmmm1119,这农场被种草了好久，终于有时间来了，离市区不远，跟着导航走，路况很好！平时工作日没有人，很安静空气很好，玩一天让人都忘了还有疫情的存在。农场里有好多小动物，还有很多小朋友玩的设施。午饭吃的是烧烤，每张桌子都配一个烧烤炉，很方便！农场老板和老板娘都很热情，吃完饭老板带着去摘樱桃，教射箭，还拿着老板的水弹枪打苍蝇据说农场还要添加新设施，看来以后可以常去					
芷羽921,🚗位置：农场位于顺义，不堵车从城区驾车大约一小时。🏕印象：和朋友一家一起去的，疫情期间农场限流，人少体验好。农场大面积是苹果种植园，活动场地不大，但是项目很多，可以烧烤、露营、射箭、喂小动物等，还有小朋友热爱的沙坑、攀爬架、秋千、滑梯……孩子玩到天黑都不愿回家，是个遛娃的好地方。烧烤肉串不错，不限量供应，老板做的炸酱面一绝					
aaaaabomb,服务很好，老板一直微信联系，耐心指路，主动联系安排时间，疫情期间开放一半，并不拥挤，烧烤区有浓浓的烟火气，目前人少搭帐篷也很宽敞，小朋友可以喂小动物，摘野菜，碰到有阿姨摘了好多扫帚菜，涨知识了，有一小块沙地配了些挖沙玩具，天然实木攀爬架，土坡配滑梯，大人们拼了命的帮娃们捞小鱼，还是很有趣的～					
dudu21o,带孩子去种地，采摘，种的话需要30天，才可以采摘，有人会教你怎么种，孩子可以体验生活，玩的不错，也能采摘、摘冰草，摘草莓，摘圆白菜，应有尽有，能玩的东西都比较好，只不过工作人员太少了，一直感觉没人带，明显人员不足。					
心系越野,「共享花田亲子农场」交通🚙：自驾开车三里屯出发一个小时就到了，顺义和昌平的交界处，路程不是很远适合当天出游，去之前点评上看到了团购联系老板预定很方便，加微信发详细地址，还做了路程指导图片，疫情期间不会接太多的人，到地方大家也都放松下来不戴口罩了特色体验🎣🍢🦐🐓🐏🐇🦆：可以捞鱼，摘草喂小动物，玩沙子，秋千，小朋友最喜欢捞鱼，每人可以捞三条鱼带回家，老板会提供盒子和捞网，小朋友捞了三回走的时候还是不想走，哭的梨花带雨不想回家就要捞鱼推荐理由：很适合家庭出游，有孩子可以玩的项目，并且小朋友也比较多，室内也有一些积木孩子们可以玩，很喜欢门口的草坪可以铺野餐垫但是中午太热了我们就放弃了。自助烧烤：成人¥248/人，三岁以下孩子半价，每人包含一只巴掌大大虾限量，其他的有羊肉串板筋香肠鱼豆腐蔬菜等等，吃多少烤多少，老板会稍微提示如何烤串。tips：一定要提前电话预约哦，疫情期间进村要准备好自己的健康码。走之前老板还送有机蔬菜，一次不错的体验，除了天气有点热					
moumoudpid,我们去的时候是四月份，还是168一位去完后的第二个礼拜就涨价了，感觉自己还是挺幸运的，环境是着实不错的，挖野菜，小朋友们都很喜欢，就是沙池旁边没有水源，小朋友们，不方便搭城堡，小动物乐园非常有意思，动物很多小朋友们喂着都很开心					
素白衣,五一前去的，提前预约，我们四个家庭，基本是包场，双井过去，开车大约一小时，路程不算太远。大人小孩的费用是包括了中午的烧烤自助，两瓶饮料和里面的所有游玩设施，说是有组织采摘的，当天我们没有，但是可以喂小动物，孩子们可是高兴坏了。他家的小分炸酱面挺好吃的，孩纸们没人一碗，烧烤就没给孩子吃，因为自己烤的，所以味道层次不齐总体来说都还不错，下次还会选择。					
April男男,这是一篇补交的作业，并非疫情期间的体验哈。公司的福利，发了共享花田的代金券。离城里不算远，开车过去比较近，就是停车位比较有限。他家主打的是苹果，又脆又甜，平时不爱吃苹果的我都觉得格外美味。孩子会很喜欢喂食小动物的环节，感觉那些羊们永远都吃不饱的样子。烧烤种类比较少，但肉还算新鲜，可以尝试。					
zt_292,交通：离城里有点远，在昌平和顺义交界吧特色体验：烧烤味道不错，食材货真价实，炸酱面很好吃，适合小孩子，只要不浪费吃的管够，可乐雪碧管够孩子可以挖野菜，有沙池和滑梯，太小的孩子玩不了拓展项目，可以体验一下厂子里有一个报废的公交车，孩子很喜欢玩，还有好多小动物可以喂，有火鸡，驴，袜子，羊，猪，鸭子，小狗，孩子可以有很好的体验					
港,带孩子来的好去处，168一位，小孩三岁以上也算一位。可乐雪碧随便喝，烤串随便点，现在的天气还好，再过一段时间大棚里烤串就热了，有小动物可以喂，建议自己带点菜叶胡萝卜，给的苹果小动物们不太爱吃。炸酱面很好吃。					
S_Q,疫情期间没有地方溜娃，点评上找到了这里，提前预订了时间，去之前老板还发了路线很贴心，宝宝很喜欢这里，喂动物，烧烤，搭帐篷，挖沙子，滑滑梯，感受超级好，如果邀三五好友会更美，不过疫情期间还是一家人去比较安全。					
vicky521,环境：离城里很近的一个地方了，开车走京承和大广，不到40分钟，到了以后在村口做了登记，进来有院子可以停车，我到的早，一条狼狗躺在大门口，我等了一会，轻按了几声，它懒洋洋的斜了我一眼，又趴下了，没办法，给老板电话以后，狗竟然自己走了，我觉得它真是成精了。院子里面有很多小动物。。。服务：非常好，老板基本是手把手把我们几个交了一遍，我终于系统的把烤串这一套流程学习了，非常感谢！口味：材质新鲜，口感极好，包括碳也是果木的，这样出来的才是最好的。					
crocodile,带孩子去玩的，小朋友都很开心，可以喂动物，午餐自助烧烤，品质还可以～就是烧烤区太热，烟太大。
像风走了九千里,说实话感受不是太好朋友带着去的，开车往返上百公里，就吃了几串烤串，完全没有感受到服务，可以说是0.️服务，真的不知道大老远干嘛去了……不会再去了
Danni_Li951104,回家路上…这是综合了我们所有人的感受写下这篇评论昨天我们10多个人其中包括三个宝宝第一眼进来就有点失望脏乱差我和我朋友都是这样的感受（垃圾随处可见）老板解释说做清洁的人还没来…还在安慰自己没准儿里面会很好…到了小朋友最喜欢的喂动物环节拔草喂动物地上全是粪便动物就几个拍出来是乡下田园风但是绝对是照骗可能之前去过的其他农场太好了导致这个体验真的太差！！！我老公回家路上一直在叹气无语！当然小朋友昨天是玩儿开心了菜地里跑一跑玩玩滑梯然后晚上吃烧烤印象里蔬菜只有土豆片和茄子…168一个人除了羊肉串不错好吃其他真的没啥了。这个价格太不值得了小朋友还要算半价而且烤烧烤的时候老板一直指指点点让我们觉得很不舒服最开始我们这么多人只给了我们一个炉子说反正我们也不会烤……再说了本来就是来体验一下…我们也没有感受到所谓的热情总而言之走的时候大家都默默感叹到没有一个人愿意再来…					
伊树子西,趁着清明节假日打电话预约了一下，竟然可以接待了！娃在家闷了太久终于可以晒太阳喂动物肆意奔跑了，这个农场挺安全的，每个人的健康码都要检查才能接待，而且人数也有限量所以我们很放心，老板还特别热心的送了孩子好吃的苹果，给我们准备宝宝椅，教我们射箭。。烧烤的食材质量也很好.小孩子都可以吃，墙裂推荐遛娃好去处！孩子以前很怕小动物，这次突破了自我摸了小狗狗，城里的孩子真的是太需要这样的自然环境了！					
khpp,疫情憋了太久，今天去呼吸新鲜空气了，和想象中的差点意思，老板娘骨子里的怨气全部释放的淋漓尽致，没有什么同理心，说话言谈举止都很丧，环境和想象的有些偏差，不过烧烤的食材我给满分，但是服务是真的需要改进，真的很客观的说目的出去散心了，不是去看商家脸色了...					
匿名用户,嗯图片有点失真-最重要的是服务业请做好服务基本态度如果觉得不想接散客就不要接大家也不是来这里看你脸色来了-都是想出来散心图个开心-请对接下来的客人面对保持微笑-预祝店家能让接下来的客人因为来你们这里而感到玩得开心。					
