用户名,评论
爱吃的窦先生,葡萄瓦舍，汉石桥湿地公园附近的一家采摘园。顾名思义，园子以葡萄采摘为主，有10亩葡萄园，也种了一些瓜果蔬菜。对于孩子来说，采摘除了亲近自然和品尝蔬果之外，能自己动手做事更是一种生活体验。就像采摘葡萄一样，要拿起剪刀，小心翼翼剪下葡萄，轻轻放在篮子里，收获一串完整饱满的葡萄需要认真完成。提高了动手能力也体会到了农民伯伯的不易，懂得了要珍惜别人劳动成果。					
穷人吃饭,不错的农庄，在村里面的一片农田改的休闲农庄。装修风格不错，环境整洁，洗手间也很干净，面积还可以不算小，能玩得开。进门不需要门牌，采摘按斤算，价格挺实惠的，不贵。农庄里啥都有，还能住宿，房间看着也是很整洁。能烧烤，吃饭有室内也有室外。能采摘，现在七月，葡萄已经紫了，他家葡萄很好吃，清香甜，无籽，适合小朋友，现在带点酸，到秋天还能更熟，更好吃了。除了葡萄还有油桃李子蔬菜，都单卖。能看动物，老板养了各种禽类，个个油亮，弄得真不错，鹦鹉们精神头和羽毛也很好，鹦鹉可以买回家。有块小草坪，是真草，很平整。这地方适合聚会烧烤，几家带孩子的一起来。在村子里面，村路不宽，不过够错车，百度导航很精准，农庄里能停车。疫情期间可以去，不过进村只有一个入口，去之前提前和老板联系，设置好导航就行了。					
wangkeelaine,单位团建来到这里，真的非常不错，环境优美，设施齐全，阳光非常惬意，这里可以采摘，可以住宿，可以聚餐，可以运动，还有动物可以看，拍出来的照片也都美美哒～人均价格也不贵，性价比非常高，老板人非常好，服务也非常到位，特别推荐～					
猴子n.n,周末约上几个朋友，来聚一下哈哈，农庄不大，但是还算应有尽有这简直是孩子们的天堂啊，几个小家伙玩的超级开心还去挖了红薯🍠，对于宝宝来说是不错的体验喔菜品就是普通农家菜，不过口感偏咸，希望老板改进如果下次可以来试试烧烤，是自助形式的比较适合带小朋友来，纯大人的话，会比较闷					
ZJUN,环境：性价比较高，院子里能停车，有几个地方可以拍美照；能采摘，也有一些小动物，太臭了没有过去拍照。服务：老板人很热情，我们忘记带烧烤的肉主动帮我们解决，还提出帮我们拍合影。位置：在顺义的一个村儿里，疫情原因需要提前联系老板要进村入口的位置，村内道路个别地方狭窄，开车要注意安全。					
alumina1,首先导航的地址没有问题，但园子就近的大门封闭了需要绕路进来比较麻烦。园子门脸不大但是里面别有洞天，可以采摘、吃饭，有孩子玩乐的草坪、小巧可爱的动物园，还有有鸵鸟哦！可以采摘的东西很多，但是价位比较贵，重在动手体验吧。					
Sure.硕硕,优点:环境不错，挨着汉石桥公园很近，大叔大妈亲和，厨房餐厅一个高个子男生也很实在。缺点:1，扫码点餐选了大桶椰汁，付款后去冰箱取，餐厅大姐说没货，只好换了大桶冰红茶，但是账单上也没写红茶价格，最终结账时说红茶和椰汁价格一样。红茶居然和椰汁价格设定的一样咱也不敢问为什么只怪换红茶时没问清吧。2.餐厅大概有7张桌子，我们进去吃的时候前几桌基本上已经吃完，坐了等了大概10分钟，前一波的客人基本上吃完离开，陆续又进来了四桌客人，已然是我们是目前餐厅里排序第一的客人，，接下来就是漫长的等餐过程，我静静地看着比我们晚到的4桌客人都陆续上完了他们点的餐，而我们才开始上菜，最有意思的是，居然告诉我红鳟鱼没有了，我眼看着后来的四桌客人他们其中有两三桌都点了红鳟鱼而且开始吃上了。我也不知道是为什么这样的结果，也不敢说不敢问。餐厅大姐居然给我换了红烧肉，我每周坚持健身减脂，今天居然吃上了红烧肉这不是罪过吗味道真不错					
seagull铮铮,我儿今天在儿童医院拆的线，一岁半不到的娃，眉毛那里缝了6针，很深的口子，流了很多血，医生态度坚定，必须缝针1.一位70岁左右的老太婆（原谅我不用敬语）看到这场景，先是说孩子磕不坏的，没事儿，接着又叨叨，瞧把我们这床单都弄上血了。2.当天晚上只有我们一户住宿，我们希望店家家里出个人陪同我一起去卫生所，一位阿姨说不行，一位老爷子也说身体不好，并说杨镇卫生所不行，建议去顺义医院。3.时间倒回到孩子在屋里磕伤之前，我看到院子里的另一间客房，是大通铺，适合我们带个孩子住，而且屋子也不潮，当时和男主人提议换这一间客房，准备在网上下单了（这间是可租状态），但是被拒绝了，理由是，这是他住的房间，这房间离院子大门近，他晚上要看门。时间再回到晚上，这个男主人没影了，不是要看院子嘛，总之这家客栈没有一个主事儿的人来处理，也没有陪同，人生地不熟，我们三人离开了。最后我决定当晚不住了，先去顺义医院。孩子大夜里哇哇哭，我狼狈地带着我妈和孩子从顺义到望京再到儿童医院4.关于房间，我要再提一下那一间店主不给我们换的房间，很工整的布局，我在想我们住的那间房，为什么感觉很别扭，除了潮味儿，还有就是它两面墙都是玻璃，其中一面拉着落地的窗帘，这个很有问题，一是很容易让人忽略那里是窗户（窗户在另一面墙上，我们大多数人习惯了一间屋一面窗这样常规的布局，尤其老人更容易按自己习惯的来），二是挡住了窗台的高度，偏巧这是一个与床差不多高，而且很90度角的窗台，孩子玩的时候头撞在了那上面。。我不愿意和店家纠结太多，走之前那位老爷子一直站在门口送我们离开，让我感到一丝暖意但是男主人拒绝我们的换房要求，并且理由和做法矛盾，关键时刻没有人在，事后也没有一个问候，老太婆在孩子受伤的时候，没有关心，反倒埋怨我们弄脏床单，那位阿姨呢，边后退边说自己对卫生院也不熟悉，再不熟也好过我们吧这个小院很漂亮，有美食，有可爱的小动物，这是你看的到的，我因为这，5年前公司团建之后总想再来但是你看不到的，是他们的态度和责任心也是因为这，我再也不想去这里。					
匿名用户,第一次去，可能是国庆人比较多，感觉不是很热情，想办入住居然开始找不到人，很多时候老板找不到，只能在微信上问，但是基本不会，房子不隔音也不保暖，吃饭量少价格很贵。不建议在那里吃向前不远就是杨镇，价格便宜好吃，有鸵鸟和一些**，院子比较小，比旁边几家小很多，采摘体验也不好，蔬菜种类少，可选量很少。葡萄比较多，30一斤，烧烤还要交押金，什么都自带，两人烧烤一小时收了100总体体验真的较差，旁边有湿地公园，免费但很多地方在检修不让去，很遗憾，不会再去。					
dpuser_48084915252,周末人多最好预定一下，不然停车位不太够用，停车位也就20个。老板说平时来人不多，体验也好多啦！肯定有地方停车。作为农家院算是大的了，周末有百十来人，饭点儿需要等位。关键环境好，有小孩玩的免费滑梯，喂小动物鸵鸟之类的也免费					
Superchushi,周末几个朋友带着宝宝来这里玩，园子不是很大，但是宝宝娱乐设施还是有的农场布局也不错可采摘水果蔬菜挖红薯花生，可娱乐可采摘可用餐还可自助烧烤，大草坪更适合给宝宝拍照，宝宝很喜欢！要是光大人聚会就有点枯燥了带宝宝的值得推荐					
cathy2234,所谓曲径通幽处说的就是这里吧，小院儿设计的很美，随便拍都是大片儿。老板人很好，很健谈，也很有自己的想法。我们带孩子在这里玩了玩，没采摘也没花钱有点不好意思。这里适合早教机构或者公司组织小朋友们来采摘，如果提前联系的话老板还能安排用餐，疫情期间在这里举办生日会也是个不错的选择，至于拍照，老板的技术就足够了。					
麦麦,来汉石桥湿地公园出来比较晚了，所以决定来葡萄瓦舍吃饭。村里都围起来了，以前的路进不来了，老板很详细指导了路线。进来碰到一队人摘完土豆，我们没得土豆翻了，从别人刨的根上捡了半袋子特小的土豆，老板没要钱，赞一个。炒的包菜特别好吃，娃好几个月没这么吃过蔬菜了，炸蘑菇也赞，听说再过三四周就可以摘葡萄了					
小马吃遍北京城,意外收获这个宝地，门口看着特别低调，进院子好停车，开始各种采摘挖掘，收获大大的，红薯🍠🌽🥜🍐鸡肉，不建议周末来，人会很多的，平日来很悠闲
叶小伦,这里的环境很优雅，随便一拍就是一幅画。羊肉串实在好吃，小孩可以玩的项目也很多，挖红薯，摘葡萄，喂鸵鸟，逗孔雀，还有一大片草地可以撒欢老板超级奈斯，下次再来。
茗杨_1647,菜品口味还行，采摘真的不便宜，其他没有特别深刻的感受。
dpuser_7331322340,服务挺好，环境也是不错的啦，最重要的是这里🈶俺爱吃的🍇葡萄，哈哈！下回还会再去
qss0454123,院子很好，吃饭去了边上的开心农庄，喂兔子，采摘挺贵
婼晴,草坪地面积小，赶上有团队活动，基本没有被接待
dpuser_5126021129,总体还可以吧，农家菜一般，羊肉串还可以的
匿名用户,环境很不错，有大棚子，不用担心大太阳暴晒，而且可以容纳的人也不多，不会那么闹腾。烤串的炉子是在另一个屋里，唯一的缺点就是烤串的时候比较热，当时减肥了吧，抵消一下暴饮暴食的罪恶感。老板人特好，帮忙生火，还帮着烤串，给我们打个样。葡萄瓦舍当然离不开葡萄了，院子里面就是葡萄采摘的地方，葡萄很甜，但是价格不便宜哦总体还是很赞的，性价比也不错，是团建聚会的好地方。					
zxaixxc,这应该是我遇到最牛掰的服务商家了。牛气的不要不要的想着多邀请几个朋友过去烧烤，怕一个炉子不够吃。问商家多少人客户要俩烤炉。人家直接来句你多少人也得看烤的人的手艺。多少人都不给提供....这个服务态度....真的可以做服务行业吗？					
北京小小火锅是家黑店,环境：村里小院儿别有洞天，草坪、葡萄、小鸟、动物、自仲蔬菜瓜果，简直不要更美；服务：老板的北京调调，专业拍照技术、逗孩子玩的不亦乐乎，仓促的出行依然很舒心……最后给老板打call（PS：抖音花絮我们是不是可以把出场费折成优惠劵）					
【已注销用户】,特别适合带孩子去，有休息的地方，小颗无籽的葡萄也很适合孩子吃。拍照也超好看。因为疫情原因，店里的食堂不营业，进村的路也和以前不一样，需要给老板打电话从另一侧进去。最后强烈推荐下，出高速的地方在这个季节有一片向日葵花海，超级好看！					
yuxuanlee,老板挺可爱的，没有住宿只采摘了，地方不大，现在只有油桃和葡萄🍇，葡萄这种透明的很好吃，三十一斤不便宜，油桃个子不大味道还可以，以前看过微博介绍，实际景色是买家秀的差距不过还是很悠闲可爱的					
芥末墩儿_,环境好，带娃呼吸一下天然大氧吧～葡萄季可以采摘好多喜欢的水果
鼎鼎妈_9561,葡萄瓦社是一个催采摘的地方。也可以吃饭，住宿环境非常不错。
dpuser_1148038966,周末和哥们出来玩耍，很不错的地方，环境很好，吃的也不错，就是蚊子多
Vivienne,东西很全的小农庄，老板很和善，人不多的话感觉很好。喂食小动物很简单，带的吃的不大受欢迎。采摘方面油桃真的很好吃！葡萄分品种，也不错！如果人多感觉还是会差些，因为地方确实不大。
匿名用户,团建来这里烧烤，40元/人。场地很不错很干净，老板人很好。李子超级好吃～下次可以来这里摘西梅～
与善仁,农场不大，设施还算全。葡萄都是现采现食的，味道还不错。
波斯猫0628,特色体验。吃烧烤，摘葡萄，体验乡村民宿，一次愉快的旅程。
miss六六,小院特别好，自己烧烤，很开心，孩子也很喜欢。
上帝特别的眷顾,不错的地方很适合遛娃有机会再来
dpuser_4353695409,特别想去的地方，环境好价格便宜，强烈推荐推荐
糖豆子,地点确实不太好找，很容易错过入口，进去后还要在村里绕来绕去才能搜索到，地图都可以收到里面还挺大的，种植区，小朋友和大人可以玩踢球，滑滑梯，还有小兔子，鸵鸟可以喂食，适合家人带有小盆友的来，大人可以在那烧烤，场地虽简陋也自得其乐，适合周末聚会和团建					
华胥少典,烤鱼是采摘园餐厅的一大特色，您可以现钓现烤，一边吃烧烤一边垂钓，别有一番风味。供有烤全羊、烤鹿腿、烤羊腿、烤羊排、羊肉串......杂粮拼盘、野菜盒子、野菜团子、野菜水饺、**水饺、贴饼子、手蒸馒头、家常饼、葱花饼、烙饼......					
Littlebee,来好几次了。每次离不开点评。真的不错。顺义大河东唯一的一个湿地。欢迎北京各区人来参观呢。一定是个带老人的好去处。可惜现在疫情给闹的太难了。第一交通便利里面好停车哦。你忘记了来了带口罩哦。非常时期吗。好多项目没有。可是环境太好了。加油吧大顺义。					
whyellin,非常值得推荐的一个地方，适合一家人或者单位去采摘。老板小哥特别会拍照，手机一拍也有大片效果，爱美的妹子可以找老板帮忙哦。午饭是老板亲自下厨，味道很美味，也实惠。我们去的时候已经是深秋了，只剩下了葡萄和梨，但是葡萄的品种也很多，水分大也甜，性价比也比较高。推荐					
【已注销用户】,去这个还是十月份，但是翻到照片也不禁想起了来给老板点个赞，拍照技术真的是刚刚地啊，把我个小个子拍的又瘦又高还有葡萄🍇真的很好吃，梨子🍐甜了个甜，还偷偷告诉你免费给了我两颗大白菜和好多香菜，都是绿色食品哦。，老板的服务相当到位。去的可以让老板帮忙拍照，把你拍的美美的👗。					
轩,水果正是季节，杏超级好吃，就杏都有好几个品种，年年来，个头大，味道甜。估计在一周葡萄，桃子，李子都得熟了。地里还有红薯，还有鸵鸟，孔雀什么的，老板性格特热情，小院子环境也好，收拾的挺干净。
tintin0321,饭菜非常可口，环境也不错，适合小团队的活动，带上小朋友玩耍也是不错的选择。孔雀、鸵鸟、滑梯、采摘、烧烤、草坪，小朋友玩的不亦乐乎。离汉石桥湿地公园也很近，适合一天的行程。
khpp,很喜欢，在这个季节，采摘很棒的
A.McIon,可以采摘，可以烧烤的农家院，非常不错
chrisisi82,上次带兔兔来耍，可惜老板当天休息不做饭，不过老板人很好，让我们自己撒欢了半天
菁菁艾莫娜,我真的不记得来过这里，为什么需要我的点评！疫情期间，希望店家渡过难关！
虹_4400,老板人很热情，环境也不错，住的一般，吃的也不错，没有满星就少了住
magnate916,在这里办活动，老板很热心…服务很周到，场地很好玩，蔬菜水果很新鲜…菜也不错
冰_8039,还是好几年前去过的呢，一家人去那里烧烤，环境不错，能烧烤、能住宿、还能采摘，很适合一家老小去休闲度假的
yyy6969,其实很小，5分钟转完一圈。么什么可以玩的。10月采摘的也基本没有了。
榆树树,作为农家乐来说已经跟上档次了，赶上了最后一拨红薯，大人小孩儿挖得不亦乐乎享受到了收获的乐趣，非常值！。午饭能吃饱，价格么不算便宜，毕竟人家也得挣钱。据说五六月来梦挖土豆，这季节就剩葡萄了，三十一斤可还行～					
小窝窝咖啡杯,娃特别喜欢吃葡萄，所以我一直惦记着带他采摘葡萄，这个时间好多地方的葡萄都摘没了，搜到了这里一问还有好多，果断前来。环境真的不错，葡萄很好吃，还摘了一些玉米，味道也很不错，这里还能挖花生，红薯、萝卜，还能摘苹果和梨，有好几个院子，很大，会有人陪着你告诉你哪种最好吃。我们来的时候这里有团建，可以烧烤，好多孩子在草坪上玩的特别开心，还有滑梯我家娃超喜欢。吃的就是农家饭，价格就是正常农家院的价格，不算便宜但是也没很夸张。我们三个大人一个孩子花了150。还有一个小动物园，有鸵鸟、火鸡、孔雀什么的，挺有意思，推荐。					
心蓝银子1024,在汉石桥湿地附近，游玩完到这边挖地瓜。地瓜地按照每米50元收费，作为城里的小宝宝能在大自然中挖沙土，捉虫子，刨地瓜，幸福的一塌糊涂。表现最棒的儿子，全程劳动，汗流浃背，满头的沙子，也不耽误茂劳动的快了！					
王不是子,我们中午到的哦.很多人在棚子下面乘凉吃饭.门口有个小黑板写着摘葡萄30元一斤.挖红薯多少钱一米.里面视野其实很小.布置的很紧凑.拍出来效果特别好.发圈有朋友问我是哪里.宝贝们玩的也非常开心.天气很热可丝毫不减他们玩的热情.我们吃饭要了一个豆角卷子.一个摊鸡蛋.两个串.凉拌葫芦丝.一些米饭和饮料二百左右.非常值了可以说是.主要是满足了俩没见过土的宝贝感谢老板老板娘的精心打造这个小天地.					
不是公主,挨着汉石桥湿地，距离可真不算近，我从通州去都一个小时。还得走高速，不然更慢，高速费倒是不贵，5元。到了之后赶上有团建的，车位还算多，应该是能住宿，具体没问。草坪有两块，都不是很大，不要有太高期望。想要大草坪去公园吧。够孩子玩了几本上。有个小滑梯，有孩子的可以玩玩，小孩子都喜欢话小滑梯。看见孩子能围着院子骑车，不过要注意安全。葡萄瓦舍，主要还是采摘葡萄，葡萄30元一斤，蔬菜10元，鸡蛋20一斤，还有红薯可以挖，50一米。沙土红薯。花销最贵的还是吃饭，饭菜价格稍高感觉，仅限单点的，一个农家一锅鲜60，没看见肉，就是一锅熟其实。有自助烤肉130一位，也比较贵。通州樱桃园采摘，自助烤肉80一位。他家有鸵鸟一枚，还有孔雀，大鹅，山鸡。					
完毕,在一个无比好的天气来到这个葡萄🍇瓦舍，环境真的不错，装修风格偏简欧，有秋千、滑梯，还有一只大鸵鸟、孔雀🦚、火鸡🦃️等动物，很适合亲子游；住宿的话房间都很干净整洁，有单间也有大套房；老板人超级Nice，很健谈，还会主动帮忙拍照，最重要的是…摄影技术不错哦…					
爱旅行的糖糖,早就有来这里的计划了，一直拖到现在。今天天气超给力，这里有蓝天有白云还有一片绿草地。孩子们在这里玩起来水枪大战，老板特意准备了充气泳池为孩子储备水。吃的不仅有凉菜还有蒸红薯玉米，老板亲自上阵为我们烤串烤鱼烤虾，尤其是小腰一定要点个赞，好吃！老板人超nice，服务很到位，生意一定越来越火。					
胡小泊*,周末带斐宝来玩开车一个小时左右还比较顺利瓦舍不大，有民宿，烧烤餐饮采摘有葡萄、土豆、地瓜，各种蔬菜水果，还有小米苹果树下，还养了鸵鸟、珍珠鸡、火鸡、孔雀等各种奇怪的家禽我问那边的人，养这些做啥他说，类似于城里人养宠物还能有蛋吃有wifi、停车位菜味道不错，量也大就是这样的农家小院价格会显得比较贵农家一锅鲜60，码的手擀面很好吃，土豆豆角也新鲜……只是明明是肉汤却不给肉吃栗子焖肉60，入味红烧肉，量可以炸蘑菇35，金针菇？我觉得用金针菇很好。细细的脆脆的，刚炸出来又热又香，而且蘑菇细，不怎么出水，所以一直都很脆很多都是全家或者几个朋友一起来。一家男女老少围着聊天，几个年轻人在玩谁是卧底郊区环境好这边的工作人员也特别健谈、细心热情，感觉就像是别人到家来做客一样地去招待					
小九姐姐,携老扶幼阵容强大，如何安排好周末也是很费脑筋。秋天去采摘是个不错的选择。满园的作物虽然不是自家的但是看着就有冲动想去挖一挖摘一摘。孩子老人都动起来了，亲近大自然还能有所收获，很放松。老板很热情，很会拍照这点我很喜欢😄对了，他家卫生间很干净，就是觉得角落里能收拾这么干净，也是很难得的了					
YoYo_915658,最后一张是红薯苗炒肉去年和朋友们来玩了，回去后孩子一直惦记着，昨天生日不想去别地儿，就想来挖红薯去年红薯好吃但是挖出来太少，今年挑了高产的品种挖，真多，一米多地24斤挖的我都不好意思了。昨天人不多，老板就顶着大太阳陪孩子挖，孩儿爹和老板聊天，我在旁边薅羊毛，摘了一大堆红薯叶回家吃。ps，薅多了，剥的手疼孩子还惦记着🍇，真真有葡萄味儿的🍇，没有硬心，入口即化。老板还有他父母以及员工大姐们人都很好，有差评说服务不好，我觉得你的打开方式不对，反正我们每次去都觉得特别舒服。					
ChrisCh211,第一次好像是17年来的，现在小院儿做了装饰，比以前好看多了！简直是拍照圣地，顺手一拍都是大片儿非常适合带孩子来，可以喂小动物，可以采摘，葡萄都是现摘现吃，菜品也非常可口。这次大家组织来水枪大战，老板特意给充了泳池，小院儿有一大片草坪，不用担心孩子们的安全问题，不但孩子们玩儿得非常开心，大人们也尽兴已经强烈推荐给朋友，以后有机会还会再来的！					
玛格丽娜,周末团建选择的这里，按照导航走，走岔了两次，终于到了，因为有小孩，他们在草坪上玩的不亦乐乎中午饭还是很丰盛的，照片拍出来美美哒中午吃饭之后，突然涌出了很多人，特别奇怪，好像是旅行团的一下子就跟菜市场一样了包了10米的地，可以自己挖红薯，那个小呀…好多都跟手指头一样粗里面有鸵鸟和孔雀，乌秃秃不太好看，孩子不爱玩能有完全的区域不多，整体来看性价比不高					
小瓜子嘎嘎嘎doremi,一家人经营的民宿，老板一家都很健谈也很热情，房间整体还算干净，适合几家朋友周末一起去烧烤打牌，交通比较便利，从三元桥出发1个小时就能到。老板种的蔬菜看起来都很好吃，据说一点药没打，后面有一个小的鸟园，养了孔雀鸵鸟，朋友孩子超级兴奋！					
曦曦真爱吃,因为尺木无山没有了所以到旁边这家来玩，有点失望。可能想象的比较好吧。地方不大，可以免费停车，里面很多果树，杏和桃都有，都比较小。我们摘了几根玉米还不错，10元三根。孩子还挖了土豆，50一小篮子有点贵。茄子不错，甜瓜不好吃一点甜味儿都没有。蔬菜采摘可以在大众点评上团购优惠券，挺合适的。院子里是有个餐厅，还不错，里面有葡萄树拥挺有意思的。葡萄不太好吃，所以我们去了别的家。					
Selina莹莹爱元宝,有的吃有的玩，孩子很喜欢，特别好。
WENJUANJ,离汉石桥湿地公园很近，开车大概十分钟，按照点评的位置导航很好找。烧烤可以自己带食材，也可以提前和老板联系订串，适合团建聚餐，晚上还可以住宿。小院环境不错，招呼我们的大哥一听就是老北京人，热情好客，人也特别实在。					
匿名用户,这是不知道第几次来这里了，最开始来的时候草坪还没那么完善，现在孩子玩的地方真多。小朋友很喜欢，说还要再来。我们是自己带着食物来烧烤，正好赶上周六下午就我们，老板还说我们很幸运，很久都没有这么少人了。葡萄园很棒，准备葡萄熟了再来。老板人也很好。					
咪哩咔,生活需要仪式感，带着全家一起到葡萄瓦舍过个儿童节，总体体验超棒，居住条件对于农家乐来说算是干净，饭菜味道棒棒，服务贴心周到，难得老板烤串和拍照技术都一流，环境特别适合拍照，老爸满意还想约朋友一起来，小妞儿也和小动物玩的很开心，会再次前往。					
