用户名,评论,评论时间
nicesue,很棒的一家樱桃采摘园，端午放假去的人很多。地址：大众上的位置不太准确，用高德搜一下就好啦。价格：团购一人80包含两斤的樱桃，现在有活动超出部分是一斤25，挺实惠的。🍒：樱桃园还挺大，往里面走走人就少了，有很多没被摘过得樱桃树。黄樱桃貌似还不太熟，不过酸酸甜甜也挺好吃的。这家还有烤全羊，貌似是要提前预定的，烤的倍儿香，刚出樱桃园就能闻见香味。					,2017-06-03
ses336,采摘体验很差！1，提前一天约被告知直接通过微信付钱，直接越过了平台；2，现场来没预约的话要100元1张票，享受不了团购价；3，票根不小心丢了要花钱重新买，否则带不走樱桃。总之就是很差，再也不想来这家了。					,2017-06-03
宇欣veronica,大众点评的位置不对，想来的朋友先打电话咨询，加老板微信，会发给地址。按照老板发的位置导航过来很好找。好几个大棚，大家来了可以去后面的大棚，我们一开始就去的第一个大棚，采摘的人最多，所以品质一般，后来又去第二个大棚，草莓比第一个大棚好很多。草莓的味道特别好，而且不需要特别挑大的，小的草莓味道比大的还好。最后带走了10几盒。					,2017-06-01
一生的追求(^-^),樱桃树很多，红色的居多，紫的黄的很少，带孩子玩的不错，就是价格略贵,2017-05-29
只想光吃不胖的小吃货,樱桃很小，也很酸，现场买票80块两斤，挺坑的，树上伸手能摘到的地方没几颗樱桃，有樱桃的地方都要爬很高，没梯子，跟其他樱桃园比有差距，体验不太好，但停车很方便，地方好找。,2017-05-28
onebeliver,说要提前两小时团才可以小孩刚一米二也收了一百，三人一共三百忒贵啦！不会再去啦！感觉被坑了呗,2017-05-28
sammi_ling326,第二次去了对于我这个好玩的人来说采摘不重要重要玩的高兴老板也非常的好,2017-05-22
&#x2F;&#x2F;大叔。,还不错，价格公道。可选余地很大，红色和黄色品种。,2017-04-03
nb_snake,"老板人不错，好评ㄟ(▔,▔)ㄏ",2017-02-26
straberry爪爪,已经是第三年来他家团购了，给发了卫星定位，还来接了我，草莓很新鲜很好吃，孩子很高兴，5月份有樱桃，我们还来。团购完才发现一斤的券更便宜噢,2017-02-25
dpuser_8080921459,很好的一次采摘，很好找，服务好✌✌,2017-02-19
briancaoc,大年初五去带孩子采摘，老板非常热情，工作人员也很好，棚子不算太大，但草莓质量还是算不错的。,2017-02-01
木雨川,采摘的蔬菜直接去地里，大爷大妈很热情。采了黄瓜大葱和丝瓜,2016-08-23
foxx1999,开园第二天去的，头一天下了一天雨，商家也提示了地上会泥泞，可是这也挡不住🍒的诱惑。位置很好找啊，加了商家的微信，按着导航，很顺利找到地方。环境挺好的，果园外生活区域，树荫很多，专门有停车场，边上有片烧烤区，要是来烧烤也不错。由于刚开园，时间尚早只有部分区域樱桃熟了，进门时每人发塑料袋，问了下大概装满是五斤的量，进去后边吃边摘挺快就装满袋子了，樱桃很大，晒的红里发紫，水分足还甜。建议进去先别着急摘，多尝尝几棵树上的果，有的甜度真的很高，有的则一般，总的来说挺好的一次采摘体验。					,2016-07-14
yuanyuan1024,大圣小朋友爱上了吃莓莓，大圣第一次采莓莓我们选择了来这儿，离家不是很远，地位也比较好找，周边全是草莓地，也有不是团购来的人，这家的草莓被采的差不多了……草莓还是比较甜的，是市场买的不能比的，从来到走，大圣就长在草莓地了，一直在吃…也是吃够了吧～😄😄打发时间好去处哈哈哈哈哈					,2016-07-07
dpuser_8550722757,非常好樱桃美味下次时间到了还要去,2016-06-17
5點21,樱桃32一斤，价格公道，孩子玩的很开心呢！,2016-06-12
紫色小喧喧,我和我的家人非常喜欢，下次还可以去,2016-06-12
小兰兰1028,还没有去呢一直想去期望很满意吧家人一起去比较有意思,2016-06-05
闲庭信步family,不错黄樱桃很好吃，里面很大，还有其他的果子，值得一去,2016-06-05
齐天大圣？！,超级好吃，可以边吃边采………………(╭☞´ิ∀´ิ)╭☞,2016-06-03
gaogao0423,来了好几次了，有停车的位置。园子挺大的，这次摘得黄的很甜回家做了樱桃冰棍儿……很好吃，酸酸甜甜的,2016-05-31
dpuser_30254083111,环境蛮好的。果子挺大个。还可以。就是不是特别的甜。不过总体不错。微信给的会员价。80块2斤。不过要提前打招呼啊。我们跟着导航就去错了地方。。,2016-05-29
cindyyang25,每年都来这里不错的，草莓比较甜，有好几个品种,2016-05-29
zhaoxu,五星好评，进园子就开吃，樱桃特别大，特别甜，吃到胃胀都挺不住嘴,2016-05-28
碳水大魔王,位置不太好找，樱桃不错，很多，很大！,2016-05-16
taoandmao,这地儿不错，有机会再去一次，挺好的,2016-04-28
Hannah丫头,这家常客了，总是周末大老远的开车往这儿跑，就为了吃新鲜的草莓，每次都摘十几斤，草莓赶上吃顿大餐的价格啦，但是很值得啊,2016-03-28
华小花,草莓真的很好，店家也很不错，价格比超市便宜(超市草莓促销，25一盒/半斤)。自己选，自己摘挺好玩的，店家提供塑料盒，每盒能装一斤。不过去的时候如果赶上前面人多，好果子很快会被摘光，虽然还有很多大个果子，但是一半很红，一半是清，样子很诱人，没熟不能摘，找机会再去。					,2016-03-26
杨小静_5356,服务热情细心很不错！值得一去！,2016-03-24
肖肖_6671,草莓很好，味道不错，价格也还行,2016-03-18
娜娜suki,很满意的采摘老板娘很热情一直招呼大家往里走还有好多大的去采摘本来也就是玩儿个心情但没想到草莓本身也确实很好吃呢,2016-03-07
syj991106,大年初六去的，没什么人，一个棚里就我们三个摘！但是感觉没有昌平的草莓甜，可能跟土和水有关系,2016-03-06
dpuser_16509954085,去的是另外一个园区，必须得早去，开的棚有点少，草莓和西红柿都很不错,2016-03-05
我是richard,下午去晚了，好的果子都没有了，老板人不错，有机会再去,2016-02-21
思思敬敬_6749,很好，老板人很朴实，就是路不太好找，以后还会去,2016-02-21
图图妈_5670,草莓真是太好吃啦，服务态度超好，孩子玩的很开心，下次还去！,2016-02-14
hd_chenxin,第二次去了，草莓很好吃。孩子开心！,2016-02-13
fun9863,提醒大家千万不要去，位置很偏而且很小就一小破棚子价格比大众上高好多话语态度比较蛮横，团购不能用，而且大有不买就不让走，估计是欺骗太多连牌子都不敢挂了。,2016-01-02
rabbitlili,大家千万别来。整个一大骗子。团购不给用而且少一分都不行几毛都要就一小土棚子不打点说不要的话立马来一帮人围着你。整个就是一骗子土匪行为。希望大众点评严惩这样的商家很奇怪排名能这么靠前,2016-01-02
堞台静雪,去的时候是周末，人很多。樱桃树非常多。口感一般，大部分品种偏酸。如果是带小朋友户外活动的话，还是不错的,2015-12-15
羲诺淡淡,不错。樱桃吃的饱饱的，吃顶到了,2015-12-09
魔鬼鱼2011,下雨了，从进去到出来就半个小时，无语！,2015-11-28
352187zhh,越来越差的地方，以后绝不再选择了,2015-11-18
夜月_9587,很努力的找了，但是貌似去的还是不是这地方，太难找了，不方便。,2015-10-25
hxh409,老板人很棒～最后还送了1今樱桃～,2015-10-24
xmm68,好久的事儿了，感觉分量不太足啊，樱桃的品种不一样，园里的也不会提醒，我们摘完出来的时候才发现别人在更靠里的园子里摘的比我们的又大又好,2015-10-17
这只小羊是麻辣味儿的,果园很大种类也多停车场也够大就是稍贵有些不够甜,2015-10-13
孤鹤试云影,都去了好久了，明天再去看看。不知道还向上次一样好吗。,2015-10-06
Amy_744346,位置好找环境一般价格公道服务还可以,2015-10-05
Dianageng,采摘时比较光鲜，但是回家一看都烂掉，好像喷了色素,2015-08-19
Fm_楠,老板比较实在。待客热情。明年旺盛再去摘,2015-08-10
genius316,第一次自己摘草莓，可以免费品尝，不过品种一般不太甜，，，自己动手丰衣足食。。。,2015-07-31
tongyanshuang,采摘草莓，老板人很好，很热情，草莓很好吃。,2015-07-28
iloveplum,便宜是便宜，就是比较酸，吃吃就倒牙了,2015-07-27
斌哥99,好喜欢吃的水果，我们一起自己采买了很多很多，不错不错,2015-07-24
llu2012,樱桃是用什么粪催的，下面全是大粪坑，有点怕怕的,2015-07-18
Xiaoyeqianhui,品种很多，老板服务很好，草莓很新鲜,2015-07-12
didi5111,印象极差的一家采摘园，东西不好还贵，不知道大家好评是怎么写的，像这种采摘园以后再也不会来啦，缺斤少两还不说，就快打起来了，态度也不好，哎，要不是时间问题就报警啦！停车的地方也没有，网上说的倒挺好！无语，影响心情，给大家的真实评价，还是密云和大兴好一些！					,2015-06-29
lingzi,购买完才知道已经没有樱桃了换采摘其他水果，接待的哥们人不错，就是价格太贵，下次自己直接去果园采摘了。,2015-06-27
阿达西_3304,这是采摘园吗？我看就是些骗子无赖坑人的地方，大众点评的人在采摘园蹲着强买强卖，就为了吃那点回扣吗？环境不好还不说，东西还极差....不都说，极差极差极差....,2015-06-27
kennethliugm,环境极差态度非常恶劣到处充满着鸡屎味木有停车区强买强卖道路泥泞大棚里面温度高达40度,2015-06-27
dpuser_58820271738,超级烂！缺斤短两，强买强卖！好的都被摘掉了，剩下的都不熟，还嫌摘不够秤！破地方到处都是泥巴，工作人员态度差到极点！,2015-06-27
爱的霓虹,还不错.就是有点远..........,2015-06-22
喝点儿么么茶,非常非常好，樱桃又大又甜，还有黄色的，更有樱桃味道。明年还来。,2015-06-21
bjcnww,里面剩的好的樱桃树没有多少了，可能要去他的另一块地了,2015-06-18
刘雅平,草莓虽然个头不大但是还是挺甜的服务的也不错下次可以再去据说冬天的更好,2015-06-17
张磊咕咕哒,非常不错非常不错非常不错，还能烧烤,2015-06-14
因爱美丽,园子很大，说是有八九种品种，我们也就找到了4种，每一棵树都要尝一下，要不然真有酸酸的,2015-06-14
阿会会,很不错，尤其是黄樱桃，特别甜，而且园子也好大,2015-06-13
小宝乖乖_黄,吃到牙倒肚歪有农家宴还能自带烧烤非常好的地方,2015-06-10
azdmm,非常好的一次采摘。团购的8斤的，里面的黄樱桃非常甜，美味！出了采摘园，有烧烤和餐厅，人挺多的，不过这次没吃。,2015-06-09
whgcj1,帮同事团的，他说还不错，应该海可以吧，,2015-06-09
dpuse123548846,非常差！门口的大妈们跟泼妇一样，我们把自己的垃圾都收起来堆在门口，这群人居然还说我们乱扔，放眼望去哪儿有垃圾桶！称秤的时候非跟我们要票，进来时已经剪过票了，还有团购券出示也不管，理论起来居然一大群泼妇就开始骂人，什么破地方啊！最后报警了，大家来是消费的，不是受这群老大妈的气的，太过分了！劝大家不要再去了！樱桃采摘那么多，不缺这一家！					,2015-06-09
dpuser_61736039483,还是找个附近的吧，进门时怕游客偷樱桃，不让带包。还有一个守门的骂骂咧咧，樱桃也基本没多少了，总之便宜是有理由的。,2015-06-08
龙哥9669,说是车厘子，但其实不是车厘子，有点失望,2015-06-07
Xiang无法预料的未来,总体还行吧，就是采摘有点小贵。,2015-06-07
总木的俺是吃货你咬俺啊,好诱人的大樱桃哦，亲们你还在等什么，赶快行动吧,2015-06-06
lwohvwe,都是樱桃啊，到处都是，伸手可得,2015-06-06
mineralwasser6666,整体感觉不错，就是当天天气太热。,2015-06-04
执着的去奋斗,门口卖票的几个女人服务态度巨差，有一个人居然和我们吵起来了…,2015-06-02
mina_zy,跟朋友一块去的，总体不错，特别喜欢采摘，就是樱桃有点酸,2015-06-01
zaifei5,樱桃很多，黄樱桃甜，很好很好，去年就来这里采的,2015-06-01
达达爱叮噹,还算满意樱桃园很大唯一不足是除了采摘外的空间有点小烧烤区域同时只能容纳3桌来晚了想烧烤只能排队,2015-05-31
柚子茶依依,规模不小，樱桃不错，摘了不少又紫又红的大樱桃。有免费停车场，也有吃饭的地方，总体不错,2015-05-31
Sabrina_1582,挺好的，不太好找。没在里面吃饭，有点小贵而且也没什么可吃的。,2015-05-31
丹江风,园子很大，樱桃也很大，就是停车有点困难。,2015-05-31
冷杉_1275,樱桃尚未进入成熟期，可采的品种较少。,2015-05-30
姣,还不错，樱桃种类很多，树也很多，很甜,2015-05-29
1007leo,来前打过电话没买团购卷，按团购价走的，如果没提前打电话就得按100元二斤算。樱桃很红，酸口的吃多了倒牙基本没有紫色的樱桃。园子确实很大，树中间过道偶有水坑坑坑坑坑。。。。,2015-05-27
Noellatata,可以随便吃，然后摘多了也可以留给老板，不够的话会补一些，不用担心重量的问题;但是樱桃不甜，没有车厘子，有些还没有完全熟，熟透的稍微甜一些，不过摘回家就软了，想摘大的得挑半天,2015-05-25
落塔卡,挺好的，快乐的采摘~一点也不会浪费~多摘的老板就留下了~,2015-05-24
qufei,总体非常一般、100一个人可以带二斤樱桃，超出部分50一斤，不让带包、怕丢樱桃，儿童超1.2米按成人收费～,2015-05-24
五星上将,进入樱桃采摘季/不错，这家位置不错，也好找，还有团购很值，有好几个朋友都来此采摘，不错…,2015-05-24
歆贝er,还可以吧杂草很多不太好走很多还很酸估计还是有点早去的人很多不让带包进去手机钱包也没地方放只能装透明塑料袋,2015-05-23
李阿斗,樱桃非常大，味道很好，孩子很高兴，下周还去,2015-05-23
fjyer,樱桃很好吃，但貌似来的有点早了，很多树还没红。,2015-05-23
Brian,挺好找的，樱桃也不错。去了说买团购，才知道要提前一天预约，后来老板来了，人挺年轻也好说话，说加个微信好友就算预约了。玩的挺开心的。再过几天去就更好了，现在还没紫，不想吃酸的就要多找几棵树。,2015-05-23
只差一點點,很满意，吃饱才能走哦。。。。。,2015-05-19
酸溜溜的小丽,和妈妈一起去的，店家很好，还送了芹菜,2015-05-16
炮灰A,还不错，可以再可以吃，就是时间有点儿早有些还没有成熟。,2015-05-16
yx992008,非常好的草莓很新鲜，人也不多。,2015-05-01
catlwhua,离我爸家非常近，老板很好，草莓真的挺好吃。,2015-04-19
海贝壳,团购去的，草莓不错！适合带孩子！,2015-04-05
米小勺_4587,草莓不错，大哥也特别热情，这边都是奶油草莓，甜～周末还来…,2015-03-26
neue,大芦荡的草莓非常好吃！又香又甜，带娃玩耍好去处,2015-03-23
长长的思念_293,位置还算好找，很不错的一次团购！！,2015-03-22
Michellewuha,地方还算好找，就是去的时候晚了，没有多少樱桃了,2015-03-21
Soohia雅,还是可以的…。草莓大大的，甜甜的！,2015-03-20
lenvid,我们采摘的时候红果子少了，可能去晚了。,2015-03-16
旅途_1261,草莓个挺大，农场主也挺热情，以后就是老客户了,2015-03-09
wqr9191,很好吃！下次还会去的！,2015-03-06
大白,不错，草莓很甜，老板实在热心，服务态度很好！,2015-03-05
jy挠挠,很不错草莓很甜老板一家人很好的,2015-03-04
dongdong_mail,樱桃确实不错，去了哪里吃的比买的多多了,2015-03-03
sherryli1005,草莓不错，就是红的不多了，老板人很好，地方不太好找，最好事先打电话问一下。,2015-03-01
magic1005,地方不太好找，不过提前跟老板问过地址了及线路了，还算顺利找到了，草莓不错听甜的，就是红的不错了，结帐的时候超了一点也没多收钱，不错下次还来。,2015-03-01
anitaxu46,不错，但团购票要加十元换购，感觉有点被骗,2015-02-27
于泳_6467,不错，草莓又红又甜，老板人也不错,2015-02-26
jeaniexiao1234,樱桃上面厚厚一层灰，吃起来口感一般。,2015-02-24
珍儿_11,老板很好，宝贝玩的很开心，有机会再团,2015-02-23
iec零度,不错孩子喜欢，草莓味道也挺好的,2015-02-23
nxy78,草莓很好吃，地理位置也不错，摘完草莓还可以去附近的焦庄户等景点转转。建议去之前跟老板电话沟通一下，跟导航走容易走错，老板人很好，很好说话。,2015-02-15
nverlyh,上午去的，先到先得。草莓甜呀！棚子很大，2个品种，超赞，吃几个尝试也行，老板人挺好！,2015-02-14
巨苗,很棒很开心，采摘的很爽～特别划算！！！,2015-02-11
JesmondK,草莓又大又甜，很适合带孩子来摘,2015-02-01
wenlin8546,草莓很大个很甜，老板很实在，称很准。,2015-01-31
怡口莲太妃,我觉得是那片草莓园最好的，老板也热情，草莓很好！不错的选择,2015-01-25
田横岛里人,不错，不错，早点来就好了，来晚了没有好的,2015-01-24
城宝castle,团购价格很合适，草莓很新鲜，很大。采摘氛围也不错。不过这家草莓园很难找，地图显示得位置也不对。而且到达目的地也发现不叫大芦荡我就呵呵了。。,2015-01-22
meimei的mama,草莓很好吃。品种也很多，大家可以来采摘.,2015-01-21
猪牧狼马蜂,人真多，樱桃酸的多甜的少，品种的原因吧，我去海淀白家疃摘的就比这甜,2015-01-19
charmingday,草莓好吃地方难找。下午去的，很多大一点草莓都被摘光了。,2015-01-13
石一丁,草莓不错，没想到吃到和家乡一个品种的草莓。老板人也挺好的。,2015-01-12
dpuser_1750433922,老板实在，草莓大又甜，孩子老人都玩得开心，下次还要去他家！赞,2015-01-11
dpuser_0484509368,很好，非常高兴，辛苦了。下次和家人还去！,2015-01-04
caryna,老板人很不错，试吃味道也很赞，下次还去,2015-01-02
BrucePon,好得很！内蒙人呼伦贝尔！人实在！买卖也要看缘分！好,2015-01-01
怡儿930,草莓很甜，老板也很热情，儿子玩得很开心，以后采摘草莓就他家了,2014-12-28
笨苯羊,很满意，来年准备再团一次，家庭去很合适,2014-12-24
gordon202,门口还有一个穿西装的客户经理，感觉还挺有意思的，草莓还不错，采摘过程很有趣。,2014-12-23
香柠甜橙,环境还行！可以自己烧烤！提供烤炉！樱桃园很大！什么品种都有！人也多！还可以采摘别的！很满意！,2014-12-10
MONAanom,公司团购滴～相当超值！很满意的！,2014-12-05
晃晃悠悠～,很甜的草莓，就是搁不住，第二天就全都要烂了，适合当时摘当时吃！,2014-11-24
快乐至上028,好几年前去过，特别特别好，樱桃味儿特别甜，都是紫的自己踩的50一斤，买踩好的可能55吧，记不清了，反正带了3k多都花了，给同事朋友亲戚都带了！,2014-11-21
emmasonia,很实在，下雨天去的，地有一点泥泞，但是樱桃很赞,2014-11-14
hawjojo,去时人还挺多的，不过草莓还挺大挺甜的，不错,2014-11-08
方法法大菠萝,不太满意，没了都。。。。。。。。。,2014-11-01
dpuser_13810095781,非常热情，下次有机会还要去吗可以免费品尝的,2014-10-29
心蓝银子1024,去的太晚，都是小的了！味道一般吧，跟南口农场没法比,2014-10-26
踏雪女孩,老板人很好！就是开春去的，太热了！,2014-10-24
江南小叶子,各种摘，不错，新鲜好吃，人超多哈哈,2014-10-04
还叫络腮胡子,东西不错，老板也不错，以后还去。,2014-10-03
LoZE,第一次采樱桃他家的樱桃大又甜就没吃过这么甜的！,2014-09-25
神秘东哥,非常好的一次体验，带孩子来特别适合。孩子在里面吃了好多……,2014-09-20
笑嘻嘻2号,环境不错，歌曲也很多，办会员卡更实惠啊,2014-09-14
xiangfeidetudou,酸酸的，不是奶油草莓啊…被家里人批了一顿…,2014-09-08
john1023,还不错，地址还算好找吧，用导航找到的，值得再次关顾。,2014-08-19
俩人的队伍,去了一次，周边环境没有说得那么好！,2014-08-18
任利_235,采摘的乐趣，很喜欢大自然的产物,2014-08-13
wanfang0791,去的时候，大草莓都被摘光了的感觉，只能睁大眼睛挑选相对大一些的草莓了，而且感觉不是太甜,2014-07-27
publicize,还不错，只是去的时候草莓熟的不多,2014-07-11
zty619,团购了8斤，吃了很多，摘了很多，但樱桃都带些酸味，属于酸甜的。最后嘴都受不了了，很不错的采摘园，如果有团购还会再去的。,2014-06-15
蜡笔小菲fly,我真不明白为何大家如何到达的，我们一行上午到达一区，按照地图指引到达牌坊西口打电话、老板说我们走错了，而且错的离谱，沟通半天发现大众点评网这个电话居然是二区电话，还告诉我们一区啥都没了，只能去二区，折腾半天说不点子上，下午吃过午饭打算去二区看看，打电话问路再走，对方说说到水色时光就到了，打电话告知我们已经在水色时光门口，对方仍然不知道该怎么指引，我都快怀疑太阳是不是在南边升起了，还好有iPhone，有指南针，各种往东往西瞎指挥，再也不去了实在扫兴，就不能找个会指路的接电话吗！					,2014-06-09
SALLY,园子不错，100亩樱桃园，很大，大部分都熟了，有红的有紫的，但是必须进去的人最低消费80元2斤，有点太死板，要是一斤就最好了，出来多了六两一个女的非要拿出来，在里面要是随便浪费一点也不止这些。何况我们都一点没浪费。总体不错，亮点是进去随便吃，不会说什么，感觉挺好					,2014-06-09
dpuser_16545533552,团购去的，75两斤，和媳妇忙活了半个下午带回来4斤樱桃，可以无限量免费品尝，吃饱了再出来，边摘边吃，看上哪个摘哪个的感觉就是爽啊，建议商家提供个水龙头，采摘完了洗手。大院里还有别的水果采摘，葡萄，香瓜，草莓等。还有垂钓，烧烤，住宿，交通还算方便。					,2014-06-03
吃货不远万里,位置还算好找，小伙和阿姨都很热情，过磅的大叔也不错。不是每个大棚都开放的，我们那天让采的章姬和红颜，在地里基本都不觉得甜，拿回家过几小时居然觉得个个好吃，真奇怪。烤了个草莓派，切开看剖面是实心的很漂亮，不像市面上有些假大空，吃着还是很放心的					,2014-06-02
小满祖,提前打电话联系了一下，老板说因为紫色和黄色的樱桃都已经过季了，所以让我们去的二区，虽然只有红色的，但是采摘真的是好玩，还可以在树下吃到最新鲜的樱桃,2014-06-02
枝枝丫丫,很划算，每人两斤已经足够，不用多花钱。几种不同品种的樱桃，很甜、很大！,2014-06-01
xueming1214,早就去了，忘了点评了，那里樱桃挺多大，个也大，就是树有点高，摘着有点费劲，不过味道不错，价格也合适，最主要是不限吃，爽！,2014-05-30
wxysnow1986,去的时候儿已经没什么樱桃了有樱桃的樱桃树是酸的很热玩一会儿还可以,2014-05-25
dpuser_89871063815,都没有的摘了，残羹败柳的，大家别来了浪费油浪费钱的，老板态度还不好,2014-05-22
